Index,Date
70245,2024-10-31 09:00:01
70244,2024-10-31 08:42:05
70243,2024-10-31 09:00:00
70242,2024-10-31 08:36:36
70241,2024-10-31 08:36:10
70240,2024-10-31 08:39:04
70239,2024-10-31 08:35:40
70238,2024-10-31 08:35:34
70237,2024-10-31 09:00:02
70235,2024-10-30 15:05:00
70234,2024-10-30 15:05:00
70233,2024-10-30 15:00:00
70232,2024-10-30 14:49:00
70231,2024-10-30 15:00:00
70230,2024-10-30 15:00:00
70229,2024-10-30 14:48:00
70228,2024-10-30 15:00:00
70227,2024-10-30 14:48:14
70226,2024-10-30 14:47:41
70225,2024-10-30 14:16:00
70224,2024-10-30 14:16:00
70223,2024-10-30 14:16:00
70222,2024-10-30 14:16:00
70221,2024-10-30 14:11:00
70220,2024-10-30 14:11:00
70219,2024-10-30 14:11:00
70218,2024-10-30 14:11:00
70217,2024-10-30 14:11:00
70216,2024-10-30 14:11:00
70215,2024-10-30 14:15:00
70214,2024-10-30 14:06:00
70213,2024-10-30 14:06:00
70212,2024-10-30 14:06:00
70211,2024-10-30 14:06:00
70210,2024-10-30 14:06:00
70209,2024-10-30 14:06:00
70208,2024-10-30 14:06:00
70207,2024-10-30 14:06:00
70206,2024-10-30 14:06:00
70205,2024-10-30 14:15:01
70204,2024-10-30 14:15:00
70202,2024-10-30 14:10:00
70199,2024-10-30 14:10:00
70198,2024-10-30 14:10:00
70197,2024-10-30 14:10:01
70196,2024-10-30 14:10:01
70195,2024-10-30 14:10:00
70192,2024-10-30 14:05:02
70191,2024-10-30 14:05:00
70190,2024-10-30 14:05:02
70189,2024-10-30 14:05:00
70187,2024-10-30 14:05:01
70185,2024-10-30 14:05:01
70184,2024-10-30 14:15:00
70183,2024-10-30 14:05:03
70182,2024-10-30 14:05:03
70181,2024-10-30 14:05:01
70180,2024-10-30 09:31:00
70179,2024-10-30 09:31:00
70178,2024-10-30 09:26:00
70177,2024-10-30 09:25:02
70176,2024-10-30 09:13:00
70175,2024-10-30 09:12:37
70174,2024-10-30 09:11:00
70173,2024-10-30 09:06:00
70172,2024-10-30 09:06:00
70171,2024-10-30 09:10:13
70170,2024-10-30 09:05:50
70169,2024-10-30 09:01:00
70168,2024-10-30 09:01:00
70167,2024-10-30 09:05:07
70165,2024-10-30 09:00:26
70164,2024-10-30 09:30:00
70163,2024-10-30 09:00:21
70162,2024-10-30 09:30:00
70161,2024-10-30 08:35:00
70160,2024-10-30 09:00:00
70159,2024-10-30 09:00:00
70158,2024-10-30 08:34:04
70157,2024-10-30 08:01:00
70156,2024-10-29 15:42:00
70155,2024-10-29 15:41:09
70154,2024-10-30 08:00:00
70151,2024-10-29 14:12:00
70150,2024-10-29 14:12:00
70149,2024-10-29 14:12:00
70148,2024-10-29 14:12:00
70147,2024-10-29 14:12:00
70146,2024-10-29 14:12:00
70145,2024-10-29 14:06:00
70144,2024-10-29 14:06:00
70143,2024-10-29 14:06:00
70142,2024-10-29 14:06:00
70141,2024-10-29 14:06:00
70140,2024-10-29 14:06:00
70139,2024-10-29 14:05:00
70138,2024-10-29 14:05:00
70137,2024-10-29 14:11:00
70136,2024-10-29 14:11:00
70135,2024-10-29 14:11:00
70134,2024-10-29 14:11:00
70133,2024-10-29 14:11:00
70132,2024-10-29 14:11:00
70129,2024-10-29 14:05:00
70128,2024-10-29 14:05:00
70127,2024-10-29 14:05:00
70126,2024-10-29 14:05:00
70125,2024-10-29 14:05:00
70124,2024-10-29 14:05:00
70123,2024-10-29 09:43:00
70122,2024-10-29 09:42:33
70121,2024-10-29 09:21:00
70120,2024-10-29 09:20:20
70119,2024-10-29 08:55:00
70118,2024-10-29 08:55:00
70117,2024-10-29 08:52:00
70116,2024-10-29 08:54:46
70115,2024-10-29 08:54:40
70113,2024-10-29 08:51:56
70110,2024-10-28 15:06:00
70108,2024-10-28 15:02:00
70107,2024-10-28 15:02:00
70106,2024-10-28 15:02:00
70105,2024-10-28 15:02:00
70104,2024-10-28 15:02:00
70103,2024-10-28 15:05:10
70102,2024-10-28 15:01:58
70101,2024-10-28 15:01:26
70099,2024-10-28 14:43:08
70098,2024-10-28 14:31:00
70097,2024-10-28 14:40:55
70096,2024-10-28 14:40:37
70095,2024-10-28 14:40:25
70094,2024-10-28 14:06:00
70093,2024-10-28 14:06:00
70092,2024-10-28 14:06:00
70091,2024-10-28 15:01:00
70090,2024-10-28 15:01:00
70088,2024-10-28 15:01:00
70085,2024-10-28 14:30:00
70082,2024-10-28 14:05:00
70081,2024-10-28 14:05:00
70080,2024-10-28 14:05:00
70079,2024-10-28 09:33:00
70078,2024-10-28 09:32:56
70077,2024-10-28 09:11:00
70076,2024-10-28 09:11:00
70075,2024-10-28 09:10:53
70074,2024-10-28 09:10:49
70073,2024-10-28 08:41:00
70072,2024-10-28 08:40:00
70071,2024-10-28 08:39:00
70070,2024-10-28 08:39:00
70069,2024-10-28 08:40:01
70068,2024-10-28 08:39:57
70067,2024-10-28 08:38:41
70066,2024-10-28 08:38:30
70065,2024-10-25 15:43:51
70064,2024-10-25 15:43:48
70063,2024-10-25 15:43:43
70062,2024-10-25 15:43:40
70061,2024-10-25 14:57:00
70060,2024-10-25 14:57:00
70059,2024-10-25 14:56:39
70058,2024-10-25 14:56:35
70056,2024-10-25 14:31:00
70055,2024-10-25 14:06:00
70054,2024-10-25 14:06:00
70053,2024-10-25 14:06:00
70052,2024-10-25 14:06:00
70051,2024-10-25 14:06:00
70050,2024-10-25 14:06:00
70049,2024-10-25 14:06:00
70048,2024-10-25 14:06:00
70047,2024-10-25 14:05:00
70046,2024-10-25 14:05:00
70045,2024-10-25 14:05:00
70041,2024-10-25 14:05:00
70039,2024-10-25 14:05:01
70038,2024-10-25 14:05:01
70037,2024-10-25 14:05:01
70036,2024-10-25 14:05:01
70035,2024-10-25 14:30:00
70025,2024-10-25 09:09:00
70024,2024-10-25 09:09:00
